iter	Passed	Remaining
0	0	88
1	1	88
2	2	84
3	3	84
4	4	82
5	5	79
6	5	78
7	6	77
8	7	76
9	8	76
10	9	74
11	10	73
12	10	72
13	11	71
14	12	69
15	13	68
16	13	67
17	14	65
18	15	65
19	16	64
20	16	63
21	17	63
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	59
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	50
39	32	49
40	33	48
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	68	9
88	68	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	79	0
